SYMBOL,Total_Signals,BUY_Count,SELL_Count,HOLD_Count,Total_Trades,BUY_Avg_Return_%,SELL_Avg_Return_%,HOLD_Avg_Return_%,BUY_Win_Rate_%,SELL_Win_Rate_%,BUY_Total_Return_%,SELL_Total_Return_%,Combined_Return_%
ADANIPOWER,36209.0,3122.0,3099.0,29988.0,6221.0,0.7001610191380293,-0.6222030950017671,-0.0058657099688573106,100.0,100.0,2185.9027017489275,1928.2073914104765,4114.110093159404
ADANIENT,36209.0,2744.0,2611.0,30854.0,5355.0,0.6845010103423288,-0.6673385757833888,-0.004698623573495388,100.0,100.0,1878.27077237935,1742.4210213704284,3620.6917937497783
OIL,36209.0,2849.0,2762.0,30598.0,5611.0,0.6344404334930948,-0.5627063507886393,-0.004091537457243813,100.0,100.0,1807.520795021827,1554.194940878222,3361.7157359000494
ATGL,36209.0,2232.0,2252.0,31725.0,4484.0,0.7457840900769327,-0.7030940885322212,-0.006607389656012966,100.0,100.0,1664.5900890517137,1583.3678873745623,3247.957976426276
PFC,36209.0,3061.0,2797.0,30351.0,5858.0,0.5441158147130813,-0.5295924915611752,-0.0012800290703354328,100.0,100.0,1665.538508836742,1481.2701988966069,3146.808707733349
RECLTD,36209.0,2815.0,2625.0,30769.0,5440.0,0.557780984107238,-0.5288589451147615,-0.0008140788907437633,100.0,100.0,1570.1534702618749,1388.2547309262488,2958.4082011881237
ADANIPORTS,36209.0,2275.0,2038.0,31896.0,4313.0,0.6093807198058597,-0.588188518853408,-0.0040531946872111434,100.0,100.0,1386.3411375583307,1198.7282014232453,2585.069338981576
AMBUJACEM,36209.0,2392.0,2207.0,31610.0,4599.0,0.5617954460090433,-0.5490382633314841,-0.00361363253656665,100.0,100.0,1343.8147068536316,1211.7274471725852,2555.542154026217
NMDC,36209.0,2471.0,2293.0,31445.0,4764.0,0.5354612598175226,-0.5087668893423033,-0.0029035383244883487,100.0,100.0,1323.1247730090986,1166.6024772619014,2489.7272502710002
PNB,36209.0,2468.0,2238.0,31503.0,4706.0,0.527943246916454,-0.4928353705062244,-0.0041815001342444735,100.0,100.0,1302.9639333898085,1102.9655591929302,2405.929492582739
MOTHERSON,36209.0,2284.0,2035.0,31890.0,4319.0,0.5294718025579832,-0.5034048464823051,-0.003220604586371387,100.0,100.0,1209.3135970424337,1024.4288625914908,2233.742459633924
OFSS,36209.0,2269.0,2004.0,31936.0,4273.0,0.5515986880955605,-0.4900154974810906,-0.00331884909274364,100.0,100.0,1251.5774232888266,981.9910569521056,2233.5684802409323
VEDL,36209.0,2140.0,1873.0,32196.0,4013.0,0.5466656637378372,-0.5238029147133266,-0.00412412199705464,100.0,100.0,1169.8645203989715,981.0828592580608,2150.9473796570323
CANBK,36209.0,2170.0,1983.0,32056.0,4153.0,0.5288198077292608,-0.4968277054486604,-0.003375824973189361,100.0,100.0,1147.538982772496,985.2093399046936,2132.7483226771897
TRENT,36209.0,2165.0,1893.0,32151.0,4058.0,0.5414704671758543,-0.4900971027922719,-0.0021426275948507856,100.0,100.0,1172.2835614357248,927.7538155857707,2100.0373770214956
GAIL,36209.0,2143.0,1871.0,32195.0,4014.0,0.5375498959049801,-0.505816396166432,-0.003779247763572099,100.0,100.0,1151.9694269243726,946.3824772273944,2098.351904151767
BANKBARODA,36209.0,2160.0,1949.0,32100.0,4109.0,0.514263501450865,-0.5003125262278856,-0.002985822361783787,100.0,100.0,1110.8091631338684,975.109113618149,2085.9182767520174
HAL,36209.0,2021.0,1740.0,32448.0,3761.0,0.5628474785206665,-0.5257974765360637,-0.0029014053486013116,100.0,100.0,1137.514754090267,914.8876091727509,2052.402363263018
