SYMBOL,YEAR,Total_Signals,BUY_Count,SELL_Count,HOLD_Count,Total_Trades,BUY_Avg_Return_%,SELL_Avg_Return_%,BUY_Win_Rate_%,SELL_Win_Rate_%,Combined_Return_%
ACC,2023,18087.0,872.0,784.0,16431.0,1656.0,0.5473883995908124,-0.5433119823453219,100.0,100.0,903.2792786019209
ACC,2024,18122.0,1012.0,866.0,16244.0,1878.0,0.5120905488481166,-0.5099324601614109,100.0,100.0,959.8371459340758
ADANIENT,2023,18087.0,1665.0,1654.0,14768.0,3319.0,0.7645784138728343,-0.7261713485618163,100.0,100.0,2474.1104696195134
ADANIENT,2024,18122.0,1079.0,957.0,16086.0,2036.0,0.560933932605265,-0.5656568556417807,100.0,100.0,1146.581324130265
ADANIPORTS,2023,18087.0,1222.0,1085.0,15780.0,2307.0,0.6474217779498458,-0.6195134063561326,100.0,100.0,1463.3214585511155
ADANIPORTS,2024,18122.0,1053.0,953.0,16116.0,2006.0,0.5652343066511105,-0.5525248221687737,100.0,100.0,1121.7478804304608
ADANIPOWER,2023,18087.0,1595.0,1577.0,14915.0,3172.0,0.7183035179476828,-0.642546698263345,100.0,100.0,2158.990254287849
ADANIPOWER,2024,18122.0,1527.0,1522.0,15073.0,3049.0,0.6812106028961189,-0.6011243418194362,100.0,100.0,1955.1198388715552
AMBUJACEM,2023,18087.0,1240.0,1172.0,15675.0,2412.0,0.5940970732003006,-0.5731231391057208,100.0,100.0,1408.3806898002772
AMBUJACEM,2024,18122.0,1152.0,1035.0,15935.0,2187.0,0.5270263334073428,-0.5217653411987251,100.0,100.0,1147.1614642259394
APOLLOHOSP,2023,18087.0,528.0,457.0,17102.0,985.0,0.5048679655528356,-0.4786246769404785,100.0,100.0,485.30176317369586
APOLLOHOSP,2024,18122.0,573.0,479.0,17070.0,1052.0,0.48788746997547133,-0.4871830559715172,100.0,100.0,512.9202041063018
ASIANPAINT,2023,18087.0,259.0,265.0,17563.0,524.0,0.49657869263988524,-0.4932029439146995,100.0,100.0,259.3126615311256
ASIANPAINT,2024,18122.0,391.0,381.0,17350.0,772.0,0.4515585928757487,-0.5283489253627615,100.0,100.0,377.86035037762986
ATGL,2023,18087.0,1107.0,1136.0,15844.0,2243.0,0.8073013806198629,-0.8025705107644483,100.0,100.0,1805.4027285746015
ATGL,2024,18122.0,1125.0,1116.0,15881.0,2241.0,0.6852510761826891,-0.6018349347187716,100.0,100.0,1442.5552478516743
AXISBANK,2023,18087.0,373.0,339.0,17375.0,712.0,0.46023854308267115,-0.4506257795784312,100.0,100.0,324.4311158469245
AXISBANK,2024,18122.0,589.0,600.0,16933.0,1189.0,0.49754740227260597,-0.4913380674424157,100.0,100.0,587.8582604040143
BAJAJ-AUTO,2023,18087.0,374.0,266.0,17447.0,640.0,0.5377516101415412,-0.4507480703971287,100.0,100.0,321.01808891857263
BAJAJ-AUTO,2024,18122.0,652.0,622.0,16848.0,1274.0,0.5190811616545385,-0.483420876347483,100.0,100.0,639.1287024868935
BAJAJFINSV,2023,18087.0,547.0,528.0,17012.0,1075.0,0.4869134247484109,-0.45968768337198473,100.0,100.0,509.0567401577887
BAJAJFINSV,2024,18122.0,595.0,555.0,16972.0,1150.0,0.4870604881615493,-0.47042496240267856,100.0,100.0,550.8868445896085
BAJFINANCE,2023,18087.0,428.0,388.0,17271.0,816.0,0.5164779954008684,-0.4782153758936345,100.0,100.0,406.6001478783018
BAJFINANCE,2024,18122.0,557.0,493.0,17072.0,1050.0,0.5128816014976764,-0.49943755909351434,100.0,100.0,531.8977686673084
BANDHANBNK,2023,18087.0,914.0,865.0,16308.0,1779.0,0.5065759846641793,-0.48372304702308294,100.0,100.0,881.4308856580266
BANDHANBNK,2024,18122.0,956.0,939.0,16227.0,1895.0,0.5558600301313643,-0.5111406702132721,100.0,100.0,1011.3632781358467
BANKBARODA,2023,18087.0,973.0,896.0,16218.0,1869.0,0.5020294201503299,-0.4770722297212983,100.0,100.0,915.9313436365543
BANKBARODA,2024,18122.0,1187.0,1053.0,15882.0,2240.0,0.5242919438311688,-0.5200877452876218,100.0,100.0,1169.9869331154632
BEL,2023,18087.0,739.0,607.0,16741.0,1346.0,0.5378550877510806,-0.4717430481889909,100.0,100.0,683.8229400987661
BEL,2024,18122.0,1196.0,1052.0,15874.0,2248.0,0.5811639354931271,-0.5528576278777368,100.0,100.0,1276.6782913771592
BERGEPAINT,2023,18087.0,599.0,554.0,16934.0,1153.0,0.46308391036403856,-0.4638783798714471,100.0,100.0,534.3758847568408
BERGEPAINT,2024,18122.0,730.0,660.0,16732.0,1390.0,0.48081599136679487,-0.4914026987162417,100.0,100.0,675.3214548504798
BHARTIARTL,2023,18087.0,278.0,275.0,17534.0,553.0,0.4882020292522373,-0.4846699744370197,100.0,100.0,269.00440710230237
BHARTIARTL,2024,18122.0,633.0,567.0,16922.0,1200.0,0.497286948917214,-0.4676410282188558,100.0,100.0,579.9351016646876
BOSCHLTD,2023,18086.0,498.0,383.0,17205.0,881.0,0.4648555893491577,-0.45076103012538715,100.0,100.0,404.1395580339038
BOSCHLTD,2024,18122.0,843.0,776.0,16503.0,1619.0,0.5083021850252056,-0.4558848681635903,100.0,100.0,782.2653996711945
BPCL,2023,18087.0,572.0,488.0,17027.0,1060.0,0.5230081730475903,-0.4766218937545208,100.0,100.0,531.7521591354277
BPCL,2024,18122.0,1220.0,1107.0,15795.0,2327.0,0.5480717447839978,-0.5164040476014021,100.0,100.0,1240.3068093312295
BRITANNIA,2023,18087.0,353.0,313.0,17421.0,666.0,0.49900019631028997,-0.4583046956130395,100.0,100.0,319.5964390244137
BRITANNIA,2024,18122.0,580.0,534.0,17008.0,1114.0,0.4819942071996949,-0.48024492088263226,100.0,100.0,536.0074279271487
CANBK,2023,18087.0,1030.0,936.0,16121.0,1966.0,0.5136894849708225,-0.4765148307973024,100.0,100.0,975.1180511462222
CANBK,2024,18122.0,1140.0,1047.0,15935.0,2187.0,0.5424901870636396,-0.5149870661684993,100.0,100.0,1157.630271530968
CHOLAFIN,2023,18087.0,792.0,722.0,16573.0,1514.0,0.5073302385896358,-0.47301651597974625,100.0,100.0,743.3234735003682
CHOLAFIN,2024,18122.0,1101.0,1071.0,15950.0,2172.0,0.5145643380992526,-0.491753320071353,100.0,100.0,1093.203142043696
CIPLA,2023,18087.0,379.0,378.0,17330.0,757.0,0.5087485610794616,-0.4959261705987653,100.0,100.0,380.27579713544924
CIPLA,2024,18122.0,559.0,527.0,17036.0,1086.0,0.5169680299669123,-0.48267533348577013,100.0,100.0,543.3550294985048
COALINDIA,2023,18087.0,532.0,458.0,17097.0,990.0,0.4961101015361666,-0.4709809328575054,100.0,100.0,479.63984126597813
COALINDIA,2024,18122.0,989.0,942.0,16191.0,1931.0,0.5340878940035593,-0.5153999689111346,100.0,100.0,1013.719697883809
COLPAL,2023,18087.0,482.0,396.0,17209.0,878.0,0.49450811866827227,-0.4644342452729663,100.0,100.0,422.2688743262019
COLPAL,2024,18122.0,793.0,713.0,16616.0,1506.0,0.4999890858009096,-0.4882401218279893,100.0,100.0,744.6065519034777
DABUR,2023,18087.0,282.0,287.0,17518.0,569.0,0.45408336107827624,-0.5060732607553202,100.0,100.0,273.2945336608508
DABUR,2024,18122.0,482.0,464.0,17176.0,946.0,0.512123378021132,-0.49948038036596526,100.0,100.0,478.6023646959935
DIVISLAB,2023,18087.0,598.0,486.0,17003.0,1084.0,0.4978725205462319,-0.5124301742852032,100.0,100.0,546.7688319892554
DIVISLAB,2024,18122.0,735.0,659.0,16728.0,1394.0,0.49318715703049854,-0.45195924404638915,100.0,100.0,660.3337022439869
DLF,2023,18087.0,737.0,627.0,16723.0,1364.0,0.5075724736776234,-0.4357593548440715,100.0,100.0,647.3020285876413
DLF,2024,18122.0,1039.0,965.0,16118.0,2004.0,0.5268841674948956,-0.48379861530811274,100.0,100.0,1014.2983137995254
DRREDDY,2023,18087.0,370.0,267.0,17450.0,637.0,0.49528406387716545,-0.4851708020309594,100.0,100.0,312.7957077768174
DRREDDY,2024,18122.0,514.0,473.0,17135.0,987.0,0.47938071979884794,-0.46974185892229336,100.0,100.0,468.5895892468526
EICHERMOT,2023,18087.0,509.0,454.0,17124.0,963.0,0.5001356192208527,-0.49589661855085326,100.0,100.0,479.7060950055014
EICHERMOT,2024,18122.0,701.0,702.0,16719.0,1403.0,0.5069675857437531,-0.49024389964882065,100.0,100.0,699.5354951598429
GAIL,2023,18087.0,819.0,695.0,16573.0,1514.0,0.522537795478963,-0.4738334617156583,100.0,100.0,757.2727103896531
