Ticker,Entry Date,Entry Price,Exit Date,Exit Price,PnL %,Days Held,Exit Reason,Signal
WIPRO,2022-03-30,285.17,2022-05-02,236.91,-16.92,33,Stop Loss 15%,1.0
WIPRO,2022-05-04,235.35,2022-06-17,193.93,-17.6,44,Stop Loss 15%,1.0
WIPRO,2022-06-20,198.45,2024-12-13,298.05,50.19,907,Profit Target 50%,1.0
WIPRO,2024-12-16,297.33,2025-04-03,251.4,-15.45,108,Stop Loss 15%,1.0
WIPRO,2025-04-04,241.55,2026-01-22,240.65,-0.37,293,End of Data,1.0
VEDL,2022-03-30,222.29,2022-05-13,177.07,-20.34,44,Stop Loss 15%,1.0
VEDL,2022-05-16,173.59,2022-06-20,139.31,-19.75,35,Stop Loss 15%,1.0
VEDL,2022-06-21,142.7,2022-12-01,215.0,50.67,163,Profit Target 50%,1.0
VEDL,2022-12-02,217.5,2023-09-27,172.86,-20.53,299,Stop Loss 15%,1.0
VEDL,2023-09-28,172.32,2024-04-02,260.13,50.96,187,Profit Target 50%,1.0
VEDL,2024-04-03,257.97,2024-05-21,424.51,64.56,48,Profit Target 50%,1.0
VEDL,2024-05-22,420.45,2025-04-07,355.15,-15.53,320,Stop Loss 15%,1.0
VEDL,2025-04-08,357.09,2025-12-02,538.4,50.77,238,Profit Target 50%,1.0
VEDL,2025-12-03,532.8,2026-01-22,678.65,27.37,50,End of Data,1.0
VBL,2024-05-27,596.42,2025-02-14,487.16,-18.32,263,Stop Loss 15%,1.0
VBL,2025-02-17,473.2,2026-01-22,487.1,2.94,339,End of Data,1.0
UPL,2022-03-30,745.9,2022-06-20,615.49,-17.48,82,Stop Loss 15%,1.0
UPL,2022-06-21,628.71,2023-10-30,532.84,-15.25,496,Stop Loss 15%,1.0
UPL,2023-10-31,534.67,2024-02-09,453.01,-15.27,101,Stop Loss 15%,1.0
UPL,2024-02-12,453.46,2025-05-05,680.27,50.02,448,Profit Target 50%,1.0
UPL,2025-05-06,672.89,2026-01-22,700.5,4.1,261,End of Data,1.0
UNIONBANK,2022-03-30,33.55,2022-11-04,50.37,50.11,219,Profit Target 50%,1.0
UNIONBANK,2022-11-07,53.38,2022-12-06,80.36,50.56,29,Profit Target 50%,1.0
UNIONBANK,2022-12-07,79.08,2022-12-23,61.58,-22.13,16,Stop Loss 15%,1.0
UNIONBANK,2022-12-26,73.16,2023-02-22,61.63,-15.76,58,Stop Loss 15%,1.0
UNIONBANK,2023-02-23,61.99,2023-09-18,93.2,50.34,207,Profit Target 50%,1.0
UNIONBANK,2023-09-20,93.86,2024-02-08,140.83,50.05,141,Profit Target 50%,1.0
UNIONBANK,2024-02-09,140.27,2024-08-06,118.71,-15.37,179,Stop Loss 15%,1.0
UNIONBANK,2024-08-07,118.17,2025-01-10,100.22,-15.18,156,Stop Loss 15%,1.0
UNIONBANK,2025-01-13,97.93,2025-06-02,148.15,51.28,140,Profit Target 50%,1.0
UNIONBANK,2025-06-03,146.67,2026-01-22,174.78,19.16,233,End of Data,1.0
ULTRACEMCO,2022-03-30,6494.81,2022-06-06,5457.09,-15.98,68,Stop Loss 15%,1.0
ULTRACEMCO,2022-06-07,5431.52,2023-06-14,8219.12,51.32,372,Profit Target 50%,1.0
ULTRACEMCO,2023-06-15,8194.44,2025-07-02,12357.67,50.81,748,Profit Target 50%,1.0
ULTRACEMCO,2025-07-03,12319.91,2026-01-22,12364.0,0.36,203,End of Data,1.0
TVSMOTOR,2022-03-30,613.77,2022-08-02,926.22,50.91,125,Profit Target 50%,1.0
TVSMOTOR,2022-08-03,915.76,2023-08-30,1404.15,53.33,392,Profit Target 50%,1.0
