Ticker,Total Return %,Win Rate %,Sharpe Ratio,Max Drawdown %,Total Trades,Winning Trades,Losing Trades,Avg Win %,Avg Loss %,Avg Days Held,Test Start,Test End
BEL,249.65,85.7,3.58,-17.8,7,6,1,44.57,-17.78,198.3,2022-03-30,2026-01-22
PFC,218.35,62.5,2.52,-32.1,8,5,3,50.79,-11.87,163.0,2022-06-16,2026-01-22
TVSMOTOR,217.74,100.0,5.76,0.0,5,5,0,43.55,0.0,277.6,2022-03-30,2026-01-22
UNIONBANK,203.06,60.0,2.01,-34.4,10,6,4,45.25,-17.11,137.8,2022-03-30,2026-01-22
M&M,192.94,100.0,22.02,0.0,4,4,0,48.23,0.0,347.8,2022-03-30,2026-01-22
RECLTD,192.82,71.4,2.34,-28.7,7,5,2,44.79,-15.56,175.9,2022-09-01,2026-01-22
PNB,171.25,80.0,2.82,0.0,5,4,1,47.41,-18.4,277.8,2022-03-30,2026-01-22
VEDL,168.18,55.6,1.6,-20.5,9,5,4,48.87,-19.04,153.8,2022-03-30,2026-01-22
CANBK,167.51,80.0,2.84,0.0,5,4,1,45.78,-15.63,277.8,2022-03-30,2026-01-22
HINDPETRO,164.52,45.5,1.48,-29.3,11,5,6,51.46,-15.46,125.3,2022-03-30,2026-01-22
TRENT,158.25,50.0,1.68,-33.5,8,4,4,52.94,-13.37,172.9,2022-03-30,2026-01-22
NTPC,143.13,80.0,2.19,-15.7,5,4,1,39.7,-15.66,278.0,2022-03-30,2026-01-22
BANKBARODA,142.09,80.0,2.27,0.0,5,4,1,39.46,-15.75,278.0,2022-03-30,2026-01-22
HEROMOTOCO,139.85,80.0,2.15,-15.4,5,4,1,38.8,-15.37,277.6,2022-03-30,2026-01-22
LUPIN,138.88,66.7,1.84,-15.1,6,4,2,42.3,-15.16,231.5,2022-03-30,2026-01-22
EICHERMOT,138.78,80.0,2.18,-15.4,5,4,1,38.56,-15.44,277.6,2022-03-30,2026-01-22
ADANIPORTS,136.37,57.1,1.52,-17.1,7,4,3,48.31,-18.96,179.0,2022-08-10,2026-01-22
BAJAJ-AUTO,134.58,66.7,1.84,-29.1,6,4,2,41.54,-15.78,231.0,2022-03-30,2026-01-22
TORNTPHARM,129.77,100.0,7.45,0.0,3,3,0,43.26,0.0,463.3,2022-03-30,2026-01-22
OFSS,125.75,66.7,1.67,-29.7,6,4,2,39.51,-16.14,231.0,2022-03-29,2026-01-22
BOSCHLTD,121.97,100.0,4.79,0.0,3,3,0,40.66,0.0,464.7,2022-03-28,2026-01-22
BHARTIARTL,118.39,100.0,3.94,0.0,3,3,0,39.46,0.0,463.0,2022-03-30,2026-01-22
BPCL,117.75,50.0,1.45,-16.4,6,3,3,52.56,-13.31,231.2,2022-03-30,2026-01-22
ABB,117.49,50.0,1.45,-35.1,6,3,3,52.43,-13.26,231.3,2022-03-29,2026-01-22
IOC,113.19,60.0,1.56,-30.7,5,3,2,48.9,-16.76,277.2,2022-03-30,2026-01-22
JINDALSTEL,110.37,60.0,1.41,-17.1,5,3,2,50.46,-20.5,277.8,2022-03-30,2026-01-22
COALINDIA,108.96,75.0,1.84,-15.2,4,3,1,41.37,-15.16,261.5,2023-03-09,2026-01-22
LT,105.39,75.0,1.85,0.0,4,3,1,40.46,-15.99,347.2,2022-03-30,2026-01-22
SBIN,104.53,100.0,2.59,0.0,3,3,0,34.84,0.0,463.3,2022-03-30,2026-01-22
